,Training size,Dev size,Learning Rate,Hidden Units,Steps Back,Batch size,Anneal,Loss Raw,Unadjusted Loss,Adjusted loss,,,
1,1000,1000,0.5,25,0,100,5,5.017,150.95,220.29,,,5.214836486
2,1000,1000,0.1,25,0,100,5,5.219,184.74,276.87,,,5.152349024
3,1000,1000,0.05,25,0,100,5,5.4077,223.11,342.8,,,
4,1000,1000,0.5,25,2,100,5,5.0351,153.72,224.86,,,
5,1000,1000,0.1,25,2,100,5,5.2145,183.92,275.48,,,
6,1000,1000,0.05,25,2,100,5,5.4038,222.25,341.31,,,
7,1000,1000,0.5,25,5,100,5,5.018,151.11,220.55,,,
8,1000,1000,0.1,25,5,100,5,5.2146,183.95,275.52,,,
9,1000,1000,0.05,25,5,100,5,5.4038,222.25,341.29,,,
10,1000,1000,0.5,50,0,100,5,4.9731,144.48,209.62,,,
11,1000,1000,0.1,50,0,100,5,5.1329,169.51,251.18,,,
12,1000,1000,0.05,50,0,100,5,5.313,202.95,307.95,,,
13,1000,1000,0.5,50,2,100,5,5.0292,152.81,223.36,,,
14,1000,1000,0.1,50,2,100,5,5.1366,170.13,252.22,,,
15,1000,1000,0.05,50,2,100,5,5.3142,203.2,308.38,,,
16,1000,1000,0.5,50,5,100,5,5.0211,151.58,221.32,,,
17,1000,1000,0.1,50,5,100,5,5.1368,170.17,252.29,,,
18,1000,1000,0.05,50,5,100,5,5.3142,203.21,308.39,,,
1,1000,1000,0.5,50,0,25,5,4.7837,119.55,169.17,,,
2,1000,1000,0.5,50,5,25,5,4.7826,119.41,168.96,,,
3,1000,1000,0.5,50,2,25,5,4.7986,121.34,172.05,,,
0,25000,1000,0.5,50,5,25,5,7.494,1797.29,3635.69,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
